# Last updated:
# + TensorFlow r0.10
# + Keras ?
#
# TENSORFLOW
#
# Building Graph
#
add_to_collection,tf.add_to_collection
as_dtype,tf.as_dtype
bytes,tf.bytes
container,tf.container
control_dependencies,tf.control_dependencies
convert_to_tensor,tf.convert_to_tensor
convert_to_tensor_or_indexed_slices,tf.convert_to_tensor_or_indexed_slices
device,tf.device
DeviceSpec,tf.DeviceSpec
Dimension,tf.Dimension
DType,tf.DType
get_collection,tf.get_collection
get_collection_ref,tf.get_collection_ref
get_default_graph,tf.get_default_graph
get_seed,tf.get_seed
Graph,tf.Graph
GraphKeys,tf.GraphKeys
import_graph_def,tf.import_graph_def
load_file_system_library,tf.load_file_system_library
load_op_library,tf.load_op_library
name_scope,tf.name_scope
NoGradient,tf.NoGradient
op_scope,tf.op_scope
Operation,tf.Operation
register_tensor_conversion_function,tf.register_tensor_conversion_function
RegisterGradient,tf.RegisterGradient
RegisterShape,tf.RegisterShape
reset_default_graph,tf.reset_default_graph
Tensor,tf.Tensor
TensorShape,tf.TensorShape
#
# Asserts and boolean checks
#
assert_equal,tf.assert_equal
assert_integer,tf.assert_integer
assert_less,tf.assert_less
assert_less_equal,tf.assert_less_equal
assert_negative,tf.assert_negative
assert_non_negative,tf.assert_non_negative
assert_non_positive,tf.assert_non_positive
assert_positive,tf.assert_positive
assert_proper_iterable,tf.assert_proper_iterable
assert_rank,tf.assert_rank
assert_rank_at_least,tf.assert_rank_at_least
assert_type,tf.assert_type
is_non_decreasing,tf.is_non_decreasing
is_numeric_tensor,tf.is_numeric_tensor
is_strictly_increasing,tf.is_strictly_increasing
#
# Constants, Sequences, and Random Values
#
constant,tf.constant
fill,tf.fill
linspace,tf.linspace
multinomial,tf.multinomial
ones,tf.ones
ones_like,tf.ones_like
random_crop,tf.random_crop
random_gamma,tf.random_gamma
random_normal,tf.random_normal
random_shuffle,tf.random_shuffle
random_uniform,tf.random_uniform
range,tf.range
set_random_seed,tf.set_random_seed
truncated_normal,tf.truncated_normal
zeros,tf.zeros
zeros_like,tf.zeros_like
#
# Variables
#
all_variables,tf.all_variables
assert_variables_initialized,tf.assert_variables_initialized
assign,tf.assign
assign_add,tf.assign_add
assign_sub,tf.assign_sub
constant_initializer,tf.constant_initializer
count_up_to,tf.count_up_to
device,tf.device
export_meta_graph,tf.export_meta_graph
get_checkpoint_state,tf.get_checkpoint_state
get_variable,tf.get_variable
get_variable_scope,tf.get_variable_scope
import_meta_graph,tf.import_meta_graph
IndexedSlices,tf.IndexedSlices
initialize_all_variables,tf.initialize_all_variables
initialize_local_variables,tf.initialize_local_variables
initialize_variables,tf.initialize_variables
